Tweet0,Tweet1,Tweet2,Tweet3,Tweet4,Tweet5,Tweet6,Tweet7,Tweet8,Tweet9,Tweet10,Tweet11,Tweet12,Tweet13,Tweet14,Tweet15,Tweet16,Tweet17,Tweet18,Tweet19,Tweet20
"@J_Sleek_21 @sydneytooRAW_  jaxson now has diabetes lmao","is not on! One from diabetes UK trird to invite herself in! Thankfully thr @macmillancancer took im busy (were eating) and didnt push","ugh Im just 100% sure that I have diabetes someone pls give me health insurance","I think Im getting diabetes soon !","RT @theresnohinsara: @HeatherGabel it was in a book, the smart womans guide to diabetes, and I was like hey, thats me! :) just got a new â€¦","O_O lmaooo RT ‏@AlphaGemini_ Yall still making excuses for why you got the hypertension and diabetes?","@cath_1994 walk in centres are a joke I got turned away when I went there suspecting I had diabetes! Get to a real hospital","@rodstreater80 my unhealthy lifestyle with diabetes in my family I lost 30 pounds &amp; gained muscle turned my life around #Motivationalmonday","@taraspratz feckang make this fuckery for my bday pwease. i will fn die bc i will get diabetes but itll be worth itðŸ‘Œ","@RyanPoptart Id leave there with diabetes.","@HeatherGabel it was in a book, the smart womans guide to diabetes, and I was like hey, thats me! :) just got a new endo, starting over!","@Abi_Coleman_ I couldve easily carried on eating more until I had diabetes..... Sooo good! X","@stephenfry I havent listened for years.  How is Walter Gabriels diabetes these days?","@dark_scone fuck it YOLO!  Seriously though I should cut down my sugar intake as diabetes runs in the family.","@EricaSedillo13 but no she has diabetes","#KnowYourAnon i have diabetes. ive had it for 8 years.","Working at a cupcake shop has gotten me a few steps closer to having diabetes.","@dallasoops i am too i wanted to get out to sleep but i have diabetes so i cant","If I truly wanted to suffer the possible diabetes, Id just eat a whole gallon of ice cream to myself. Twice."
"@JiaaTingg just started nia where got so fast can get diabetes wor lol","@ItzImmortal My X-Girlfriend has diabetes/ is a diabetic.","I just saw a bake sale to benefit a childhood diabetes foundation.","@marcellaaromaa lol same with my mum, my cousin puts 6 in his tea haha but i should watch it bc my grandma has diabetes","@earthtonicoIe diabetes isnt something to joke about","O_O lmaooo RT ‏@AlphaGemini_ Yall still making excuses for why you got the hypertension and diabetes?","@sereenalow if you can get it at costco, 10$ and hello diabetes :3","my stomach hurts diabetes is lame","If anyone want to give me coins to my advisory can win the diabetes thing that would be great","@_RED31 @CommonBlackGirI What exactly is it? lol Looks like frozen diabetes","@VernNotice the diabetes found them","Might have diabetes, blood work tomorrow, wish me luck.","RT @LilesGang: You ask them  put me on with your friend cuz you dont know them and they always gotta excuse  oh she got diabetes like â€¦","Im drinking Jolly Rancher soda, eating fun dip, and just finished an M&amp;M cookie... rock bottom has never tasted so good #diabetes","Maybe you have diabetes ..","#KnowYourAnon i have diabetes. ive had it for 8 years.","Its not good Koolaid unless you can taste the diabetes with every sugary sip.","@DerekK3 @PMorrissey41 is that a diabetes needle or something? ðŸ˜","i used to think my grandpas food shirt was the secret to curing diabetes but it was just how to eat when youre broke."
"@EstelaWildEd everyone with diabetes and medication dependent diseases would die, broad spectrum antibiotics would be best to have","Just sat through three hours of EMT talking about diabetes and I came home and ate cake and mashed potatoes #noshame","I hate to say it, but Terio is probably going to get diabetes.","@jmallek1 Im going to get diabetes along with scurvy. #uhhh #somethinglikethat","Im going to give these kids diabetes","@ally_millerxo Im sorry babe, I cant control my diabetes","@McLoshe @evanbishop_ one time my diabetes was acting up and I got thrown out by like 20 ft then I threw up in the dug out. Tru","How do I not have diabetes ðŸ˜‚ðŸ˜‚","My tummy hurts... I ate like 14 macaroons #diabetes","RT @PrincexFbgm: Niggas wanna eat ass but dont even got diabetes","@rachellcupcakes is be there with you but you know how diabetes gets in the way of things","Michael Massing, warming up to tilt at a (T2) diabetes windmill. #hcsm","@jaclynsouth it doesnt make sense to me. You can love yourself all you want, but thats not gonna keep you from getting diabetes.","@MaazRafiq can we have diabetes together #iwantsome","Double chocolate chip brownie ice cream at the time is like begging for diabetes","By helping him with his diabetes Im helping myself.","@leilatte: @natemods_nate i want more diabetes nathan","@laurenslacum SAME HERE!!! Ahhhh diabetes is reaaaalllll","â€œ@angeldeshan: Its not good Koolaid unless you can taste the diabetes with every sugary sip.â€ ðŸ˜­ðŸ˜­ jam be like @__xokay"
"Ill never forget when @Kaylaponkilla @kuuuraboo @KattiSon and @elijahmcoutu added betes to their usernames out of respect to diabetes.","@KatesBecca That is pretty cool. It better be called, Just like Mom used to make, only with less diabetes or something along those lines.","Up from a glorious nap. I swear my diabetes is acting up. Im tired all the time. SmDh","RT @PNauticExpress: If youve had a coke in the last six years youre also more likely to have diabetes. Do the study. I guarantee it.","In elementary school I liked nick Jonas the best. Hes sensitive like he has diabetes","#KnowYourAnon i have diabetes. ive had it for 8 years.","RT @StephenSType1: @T1DME @aDoseOfDiabetes Yeah... besides, diabetes is all about using yesterday as a reference, and doing your best now gâ€¦","@shawdasays Not too much to cause diabetes &amp; not to little to cause bitterness. Wait were talking about Azizs being sweet like sugar right","RT @GodDammit_Jace: @Devanyadigg Dat diabetes got me some type of shitty way","Definitely have diabetes after today","Check out my blog on diabetes and emotions today!...","Threw my diabetes stuff at the wall cause it pissed me off. Hope it still works! #oops","@keyoki I meant to put that in quotes diabetes does not exits its just something made up by dies companies 140 chars and all","Youre so cute its giving me diabetes!","Slam Dunk Basketball Camp for kids with diabetes coming to West Allis: Slam Dunk Basketball camp for kids with diabetes will again be...","My sister Kiley has just been recently diagnosed with type 1 diabetes. Help support our team Kileys Kure Krew in the Stoon Telus Walk!","@Skillworkshop: all those fanta lovers .. Not everyday fanta sometimes water ðŸ˜’LOOOOL Its Going to be everyday diabetes for them soon","@Rembis50 I just ate some going to die of diabetes now","RT @_JENerator: Just diagnosed myself with type 2 diabetes.. Ive turned into @kayla_fannin"
"Im literally going to cause myself to get diabetes","I for real pray day and night my kids will never have to deal with the problems and complications of having diabetes #notfun #happyfuture","McDonalds really needs to have a 50 cent small sweet tea because I really dont need to have diabetes.","Face it, my life is a movie and your life is a boring diabetes commercial.","@CameronDallas 4-5 times a day at least I gotta give myself shots cuz diabetes","#KnowYourAnon i have diabetes. ive had it for 8 years.","God is good!! Almost sure I was gonna pass out on stage tonight! Living with diabetes is tough sometimes.","WONDERING If I met my pancreas today for the first time would i hug him out punch him in his pancreatic face #diabetes #DiabeticProbs #t1d","@ipodwojniak he is not going to get diabetes. Maybe tooth decay though","Just diagnosed myself with type 2 diabetes.. Ive turned into @kayla_fannin","Fantastic Super Sunday; lives touched and transformed! Testimony of a miracle : a sister got healed from sugar diabetes ! Praise God","@Devanyadigg Dat diabetes got me some type of shitty way","Youre lucky you have a high metabolism. If you didnt, I swear youd be like 400 lbs with diabetes -My Mom","why does Phineas and Ferbs mom always give them pie does she want her children to have diabetes","When my foot falls off, Ill know Ill have diabetes","#KnowYourAnon i have diabetes. ive had it for 8 years.","I eat and crave sweets everyday, and Im so scared of diabetes ðŸ˜’","Im sorry but I seriously just want to skull stomp everyone who looks at diabetes like its no big deal.","I feel the diabetes coming on"
"Argh diabetes. I do not like being woken at 1am on a Monday morning requiring me to feed you!! #stupiddiabetes","RT @nickjonas: 8 years since I was diagnosed with diabetes today. To all my diabetics out there #staystrong","did I mention I have diabetes now? I have diabetes now. blood sugar testing is a pain, literally","Oh yeah, who all ate my chocolate type 1 diabetes cake?","RT @ChaseBlackmon87: @BornTheTruth my names Scott Tetterman and I have diabetes","Diabetes steady eating my insides, fucking my vision up, I swear to god I feel like giving up.","Not very often does my glucose meter tell me HI Ive been on a rollercoaster past few days with blood sugar #DiabeticProbs #t1d #diabetes","@lizskoronski not kidding this weekend alone could give me diabetes...","RT @katiemariei: The brownie batter doughnut gets me on a diabetes level.","RT @DebbyMontana: i need a sugar daddy, but what if i get diabetes","@awkwardposts: i would like to thank my legs for always supporting me @JeffPatAdams that is until theyre taken by diabetes","I am having my cake and eating it to #diabetes","if i cant taste the diabetes in my hot drinks then it is no hot drink of mine","If youve had a coke in the last six years youre also more likely to have diabetes. Do the study. I guarantee it.","How i dont have diabetes yet idk","@KMcAllister4 I have diabetes.","@PrincessLola_ox i hope you get type two diabetes because youre such a sweetie.","That drink made my diabetes stand up and salute -my mother","@mouvvves I cant hear you over my cancer, cavities, and diabetes"
"The fair smells like diabetes","Im just trying to avoid diabetes","@j_waters15 lol im saving him from tooth decay and diabetes","@BornTheTruth my names Scott Tetterman and I have diabetes","crystal is going to get diabetes from how much coke she drinks. she literally just bought 5 cases of cans for from target","By helping him with his diabetes Im helping myself.","RT @burstitivity: McDonalds really needs to have a 50 cent small sweet tea because I really dont need to have diabetes.","@Michfoshizzle Cool, im diabetes nice to meet you","RT @NadineNortey: I eat and crave sweets everyday, and Im so scared of diabetes ðŸ˜’","I put hot sauce on errrythang...father God please protect me frum oasis, diabetes, high blood pressure, etc","@FLewisMath not even the diabetes?","If I keep eating like I have the past two days Ill have diabetes by Tuesday","I just saw a bake sale to benefit a childhood diabetes foundation.","Why become a member? Access to events like EXPOsing diabetes where you can find out the latest info about managing your diabetes.","@286Sophie was it in one sitting? I realised that I once drank over 200% of my daily sugar though a bottle of apple juice before..# diabetes","Diabetes steady eating my insides, fucking my vision up, I swear to god I feel like giving up.","@ml_lionti imagine if he saw all the junk food we had at DECA #diabetes","Nene, first you were jealous of Kim and Sheree relationship,  now Marlo and Kenya, take a seat before you catch diabetes #rhoa","RT @VailGabrielle: @m_cadence08 hang on more importantly my phone just tried to autocorrect diabetes into diabetespocalypse"
"Finally put a new sensor in. I enjoyed the weekend without it. Sometimes it is just nice to have one last thing stuck in you. #diabetes","Gonna have a diabetes attack with all this candy","A. I have diabetes; so normal coke wouldnt be the best  thought","@cesarmillan Im only six and have type 1 diabetes and Im getting cataracts.","While at robs griff got out his diabetes and I thought he was going to stab me and first and it scared the shit outta me","@ally_millerxo Im sorry babe, I cant control my diabetes","@pleathersharts the one with diabetes you used to talk about? Lolol","@tara_borst diabetes isnt good too","If I make it out of this life without diabetes then there probably is a god","we are going to have diabetes tonight @FuNsized_chiq and @XavienneX","Watching unique sweets... This channel is about to give me diabetes just watching it ðŸ˜’.. I want every cupcake right now ðŸ˜","We all know that girl who looks like she has 10 different types of diabetes, &amp; survived the holocaust @lastnamebeasley","â€œ@charityymayy: In elementary school I liked nick Jonas the best. Hes sensitive like he has diabetesâ€ - me","@Floridon_ diabetes with happiness","My mom pronounced diabetes diabeetus and my brother laughed at her","O_O lmaooo RT ‏@AlphaGemini_ Yall still making excuses for why you got the hypertension and diabetes?","@mr_muscless @Manny_Fotiadis i struggle with that, diabetes, being stabbed in jail, or a freak skydiving accident","@PNauticExpress You guarantee I might have diabetes? I guarantee you might have Ebola!","Maybe its maybelline, maybe its type 2 diabetes. Idk, Im not a doctor."
"@T1DME @aDoseOfDiabetes Yeah... besides, diabetes is all about using yesterday as a reference, and doing your best now going forward","@BryanFuller When I first watched Amuse-Bouche I had just eaten mushrooms on toast. I also have diabetes. Serendipity! #Hannibal","@CameronDallas try dealing with diabetes!","RT @Tyler_Norris16: If I keep eating like I have the past two days Ill have diabetes by Tuesday","Fat: You have diabetes","@EllieHurwood stop bragging about your diabetes","@mcariassss @jj6_ nahhh just diabetes","Never attempt to poach a Cadbury egg, unless your breakfast guests have requested diabetes. #FailedEmergencyRecipeSubstitutions","@ZachHougardy @camgardner12 should people with diabetes be watching netflix?","Is it bad that I got my Timbs a size smaller?  Or is that just stupid?  I swear the diabetes is getting to my brain.  -VMosc","RT @ReaIWilIFerreII: Juan has 40 chocolate bars. He eats 35. What does Juan have now? Diabetes. Juan has diabetes.","@m_cadence08 wait a day, they will leave you a voicemail telling you its really diabetes","Type II diabetes, from the Greek word FAT ASS!!! @DaveKerling lol youre hilarious :)))","I put diabetes in a tweet that was supposed to say debates. It gets no lower than this","Having diabetes sucks because my immune system is weak, meaning it takes awhile to fight off infection and illness.","@driverRyanReed #DSDshirt is awesome! Im taking new steps to control my diabetes and joining the movement to Stop Diabetes!","RT @HyenaDreads: Yeah u fat acceptance till then damn diabetes and that high blood pressure hit wait till yall out yall 20s and early 30s","Im going to die from diabetes","@lmfaowut lmao that looks good but Ill also remain to have diabetes."
"Research paper on diabetes has turned into me throwing out all the things in my pantry with sugar in them","@Stokes_82 its from the diabetes","@CameronDallas you would never survive with diabetes then !","If you dont settle all major diabetes with a game of rock, paper, scissors, then I dont trust you","No @sierralaurenxo it isnt diabetes","The reason I got serious with my gym and weight loss is cuz my dads diabetes got worse.","@tntxtori_316 youre gonna have diabetes one day babe","@CameronDallas i get 2 everyday for diabetes how do u think i feel brothaaaaaaaaaa.","I MISS BARBECUE CHEESE BAGES TOO. Saying Aylestone was a healthy eating school they must of included diabetes as a fruit/vegetable.","@BasedSangha so vishal and I go to Tims and this is what VISHAL SAID: hi can I get a medium steep tea with 3 cream and 2 sugar #diabetes","they then intentionally put harmful chemicals/substances that causes things like cancer and diabetes..","@keyoki Yeah, still thought I cant really fuck with the movement. When people say shit like diabetes doesnt exist its just a capitalist ploy","Diabetes... Mods has diabetes as welâ€¦","Theres a sign on the elevator that says give priority to those with disabilities but I read it as diabetes idk dyslexia sucks man","My dad told me I was going to get diabetes with how much sweets I eatðŸ˜³ðŸ˜‚","Diabetes steady eating my insides, fucking my vision up, I swear to god I feel like giving up.","Just ate a giant piece of carrot cake. Pretty sure I have diabetes. But what a way to g....nevermind its diareah......butt what a way to go","Stanley Hudson wins the diabetes dundie . Classic Michael Scott","i might have diabetes now"
"You chose to have maple syrup on those curly chili cheese fries, now you gotta love with type 2 diabetes.","RT @casey_alyn: @briemerr thinks I could have diabetes #probablyright #stillaintgointothedocs #sowhatisleep #magicnursepowers","@m_cadence08 cant wait to see if they misdiagnose you with diabetes","RT @JohnBurger21: @SwaggyP1Three back in the day you could taste the diabetes","I need a #diabetic best friend. #Type1 #diabetes","He has diabetes...enough said...","Washing my chocolate bar down with coke because diabetes","RT @ShtDiabeticsSay: Control my diabetes?! Okay, and while Im at it Ill control the weather, the tides of the ocean, &amp; the orbits of the â€¦","RT @grahamlee7: they then intentionally put harmful chemicals/substances in almost all foods , which causes shit like cancer and diabetes","Yeah u fat acceptance till then damn diabetes and that high blood pressure hit wait till yall out yall 20s and early 30s","This game is giving me diabetes","@SwaggyP1Three back in the day you could taste the diabetes","@m_cadence08 hang on more importantly my phone just tried to autocorrect diabetes into diabetespocalypse","Tht moment when I tweeted my bro was talking bout me getting diabetes Aand  @AvoidDiabetes_ follows me ðŸ˜‚ðŸ˜‚","Being sick so much is killing me faster than an average person because of my diabetes. PLEASE dont tell me that I will be fine. Im not","Diabetes steady eating my insides, fucking my vision up, I swear to god I feel like giving up.","I love sugar but both of my parents are diabetics which makes my chances of getting diabetes extremely high ðŸ˜žðŸ˜«","i swear my grandma isabel tries to give me diabetes","Im gonna get diabetes with all this shiz Im eating"
"@Wahfah I think I got diabetes from my Nagiasu marathon earlier this week so I needed something substantial to neutralize its effect.","@balihaar youre going to get diabetes","@Jen_Lee When I went back to drinking sweetened tea after gestational diabetes, the HFCS would make me horribly nauseous.","RT @djchrisandrade: â€œ@Cheez_xo: @Dave_Brown_ just tell the cops you have diabetes it works every time ðŸ˜‚â€I kept saying that lastnight ðŸ˜‚ðŸ˜‚","Other studies have shown that patients with diabetes are significantly less likely than those without diabetes to have seen a dentis...","Diabetes steady eating my insides, fucking my vision up, I swear to god I feel like giving up.","Lmao Richard said want some diabetes with that coffee? Thats how I knew it was gonna be a good day ðŸ˜©","And now we have to deal with diabetes ðŸ˜’","@alexjones93 a wise man once told me; if you eat a lot of sugar, you probably have diabetes.","RT @GillesVance: If chubby cheeks werent so adorable, I wouldnt be so eager to stuff diabetes into children.","The brownie batter doughnut gets me on a diabetes level.","Just trying to prevent diabetes ðŸ˜","@clance96 both diabetes and trying to fatten you up","@faded_blue then say hit to diabetes for me lol","Aint no point tryna live &amp; eat healthy if you black cause you still gonna inherit diabetes and/or high blood pressure","@KMcAllister4 I have diabetes.","RT @Emazzing: @bleighve its smells like pancakes and hotdogs Me:  it smells like diabetes @bleighve welcome to NASCAR. Real convo #Dâ€¦","â€œ@Cheez_xo: @Dave_Brown_ just tell the cops you have diabetes it works every time ðŸ˜‚â€I kept saying that lastnight ðŸ˜‚ðŸ˜‚","Can someone send me the homework for bio about that guy with diabetes"
"terio is gonna have type 2 diabetes before he learns cursive","diabetes me","@emilyygibsonn u have diabetes","@_keyyki We can wear sweat pants with the sticker if we donated to the diabetes thing at lunch","RT @T1Diabetes101: When I say Im high or am gonna shoot up, everyone gasps at me. Thats diabetes lingo, calm down. #diabetes101","@ally_millerxo Im sorry babe, I cant control my diabetes","If money was to be sugar then trill niqqae i will be having diabetes...if swag was a game of chess then i had won already cuz am a fine boy","@Dave_Brown_ just tell the cops you have diabetes it works every time ðŸ˜‚","I was sitting down eating fro yo next to my brother then he told asked me if I wanted a side of diabetes with that. What a sweet kid.","i still dont understand why i dont have diabetes yet","Stephanie and her diabetes trying to prick my finger. ðŸ˜¡","that makes me sound like Im a walking disease dw its only diabetes","@holllaklinville Wow my great great great great great great grandfathers roommate died of diabetes #toosoon","walk out maggianos with type 2 diabetes","the fact that people with type 1 diabetes have a reduced life expectancy of over 20 years proper fucking gets to me i want to live to 100 fs","By helping him with his diabetes Im helping myself.","@b1vckbxy that shit got heart burn indigestion acid reflux diabetes and heart attack all over it","A diabetespage followed me n i have  learned that eating onions can stop you gettin diabetes onions are clearly the secret to immortality","Cinnibon delights aka youve just been diagnosed with diabetes"
"yooo I hope I dont have diabetes rotf","My dad is silly,Dad Baby r u still crushing candies?Come on put that down,u will have diabetes,&amp; its time for evening worship #CandyCrush","8years ago i was a normal nigga now im 21 with diabetes almost kilt a nigga","My grandmas dog is over 20lbs and has diabetes","Surprise nigga doesnt have diabetes yet","My sister Kiley has just been recently diagnosed with type 1 diabetes. Help support our team Kileys Kure Krew in the Stoon Telus Walk!","Do you have diabetes?","I never think of diabetes as a disease..","I sat down and really realized how blessed I was tonight in every way possible. My family, diabetes going well and girlfriend and her family","RT @tweetingsquid: Washing my chocolate bar down with coke because diabetes","RT @Cheez_xo: @Dave_Brown_ just tell the cops you have diabetes it works every time ðŸ˜‚","they then intentionally put harmful chemicals/substances in almost all foods , which causes shit like cancer and diabetes","The question is who kills fatty first, me or diabetes","@CameronDallas with diabetes you dont have a choice to like them or not","Its been proven that diabetes can ruin marriages","O_O lmaooo RT ‏@AlphaGemini_ Yall still making excuses for why you got the hypertension and diabetes?","Kangas avi has got to go being that fat isnt healthy you get sick easily high and low blood pressure and diabetes","Explaining diabetes to ignorant children is harder to do than explaining to ignorant adults","2015: Will the official low fat U.S. Dietary Guidelines be fixed - or will #diabetes continue to sputter out of control?"
"Cant wait to watch Coach Hall on 60 minutes tonight! Miss talking w/ him about diabetes and the crazy life of a Sangrik haha. @Coach_hall77","Lol so like Im about to make a diabetes joke ðŸ˜‚ sorry","Im thankful I dont eat when Im bored. I wouldve died from diabetes and a stroke at the same time","@_Delzaa i glanced over this and swore it said diabetes D:","@TwitchyTeam DOT/FAA prohibits drivers/pilots with seizures,some diabetes/cardiac/vision-hearing disorder-But med MJ users OK to drive?THINK","The reason I got serious with my gym and weight loss is cuz my dads diabetes got worse.","@gikwangarts /opens my mouth and takes a bite/ oh its yummy! Im going to die if diabetes haha everyone says I eat too much sweets C:","@laura_crane14 @mayganford4 I Maygan and I dont care about our diabetes, we can take the sugar. Better watch out next time tho","Look at my magic trick! **shoves cotton candy in mouth** -- Thats not a magic trick... thats diabetes ðŸ˜³","RT @arushi_ahmed12: @jennyjen7676 Im surprised that you dont have diabetes","RT @itspetesummers: @EricDeBoer2 @adamzimmerman04 @BLehr08 Adam your backhand is awful shut up I have diabetes!","Zhykir didnt wanna share his fries.  And Tyheim got mad and said thats Why you fat and gone have diabetes!","If I worked at the Cheesecake Factory I would be 500 pounds, have diabetes and put them out of business","Uhhh why do people think I have diabetes?","Ndidka always retweeting some diabetes photos","@ally_millerxo Im sorry babe, I cant control my diabetes","@littlebytesnews DOT/FAA prohibits drivers/pilots with seizures,some diabetes/cardiac/vision-hearing disorder-But MJ users OK to drive?THINK","Feeling mixed up today, hence the silence. My brothers been diagnosed with diabetes and its very bad.","Adam that song sucks. Shut up I have diabetes @adamzimmerman04 @BLehr08  @itspetesummers #TLCmemories"
"RT @AngelicaArcuri: If I worked at the Cheesecake Factory I would be 500 pounds, have diabetes and put them out of business","@flochickenballs @_HollyEldred @GeorgeeyC ugly/diabetes hairline is my smoothest chat up line. Come on now.","every time youre thirsty thinking for a second do I have diabetes? #nursingschoolprobs","@amyyy1562 I have depression with my diabetes but I dont let it get to me! Im stronger than that piece of shit disease!!","I just realized we, as children, were just cheering for people to develop diabetes, and then just called them fags if they didnt go for it","@driverRyanReed #DSDshirt is awesome! Im taking new steps to control my diabetes and joining the movement to Stop Diabetes!","@chipomerc @itskudaaaa blood pressure, cholesterol, diabetes &amp; everything else","@shirtlessjay oh yeah. Doggie diabetes. Im an absolute shit but I forgot.","@OngChotwI Of course, but Im talking about the fact that its more accepted to joke about diabetes than other diseasesðŸ˜Š","Our group of friends ate 14 pizzas last night, in case you wanted to know what the faces of diabetes look like","And now, cupcakes that are apparently made of diabetes.  In the best possible way.","@rum4alan yuppers needles to say I dont drink anymore. I have type 2 diabetes. I wish I knew now. Back then I would never drank so much.","Nearly getting mugged and meeting a man being evicted who is becoming blind from diabetes was my day. Gotta love Conway, puts me in my place","You know its good sweet tea when you can taste the diabetes!","Frosting tastes like diabetes","O_O lmaooo RT ‏@AlphaGemini_ Yall still making excuses for why you got the hypertension and diabetes?","Just made the most ridiculous ice cream sandwiches, diabetes unlocked.","Worst 3 hours of my life and the little one cried cause he had diabetes","Must be for those people with diabetes lol wut"
"@fernemccann just been diagnosed with diabetes please tweet me or follow me for some support ðŸ˜” so upset atm xxx","RT @stockejock: Hey Im a Girl Scout and this is crazy, but heres some Thin Mints and diabetes maybe.","RT @BattleDiabetes: People with obstructive sleep apnea and type 2 diabetes have a double-whammy when it comes to blood sugar control --&gt; hâ€¦","Im pretty sure I just gave myself type two diabetes","The only thing I got out of CRUX was type 2 diabetes","@RMG_jeffrey I am pulling for you buddy.....Diabetes isnt a joke....plz take it seriously...your a great guy and wish you the best.","RT @livfaiers_: Everyone just thinks Im different with my diabetes xx","@TwinSickle that tweet was so sweet I think its going to give me diabetes. ðŸ˜‚","The most productive thing Ive done all week was coming close to diabetes","RT @RoisinGuinane: The most productive thing Ive done all week was coming close to diabetes","@Theagreen56 youve got diabetes?","Everyone just thinks Im different with my diabetes xx","@BillieFaiers @MinniesBoutique please follow me bil your scene with sam tonight was like me and my sisters and mum ðŸ˜” when I got diabetes ðŸ˜”ðŸ’—","@Diabettys .. shed been told diabetes = no candy.  (SMEG!)  Cops picked me up somewhere.. and dropped me off (in insulin shock) on 1st Ave","@BillieFaiers please follow me your scene with sam and your mum was like my sister and me and my mum when I was diagnosed with diabetes ðŸ˜”ðŸ’—","@EllieHurwood stop bragging about your diabetes","@OdinsFirstSon @TheRotundOne @LordMalekith youre all going to get diabetes.","Why cant we ever eat out, my mom cooks good as hell but still I want some diabetes once in a while","RT @ashleeholmes: Look at my magic trick! **shoves cotton candy in mouth** -- Thats not a magic trick... thats diabetes ðŸ˜³"
"@bleighve its smells like pancakes and hotdogs Me:  it smells like diabetes @bleighve welcome to NASCAR. Real convo #Daytona500","@jennyjen7676 Im surprised that you dont have diabetes","@fernemccann love you just been diagnosed with diabetes please give my some support or summit to keep me going ðŸ’–ðŸ˜­ love u please follow me x","Man I really really really hate lupus , fibrymalgia , arthritis , cancer , diabetes , shoot all diseases . Theyre freakin annoying","Type 2 diabetes (T2D) is an example of a SeDS condition, as it is almost entirely preventable with physical activity.","Diabetes steady eating my insides, fucking my vision up, I swear to god I feel like giving up.","@KatieOlay : Who are you trying to pick up at a diabetes walk?","@MissJessWright_ please follow me Jess I was just diagnosed with diabetes would love a supported tweet or summit please follow me love uðŸ’—ðŸ’—","Mothers steamed broccoli recipe: broccoli,  boiling water,  half stick of butter,  diabetes","@Diabettys .. non funny diabetes jokes; at least let them know the facts about diabetes so they might remember it for a future encounter. :)","@PauloYoung1 I opened the box and pinched 4 of them at 5am last night haha. If I ate one more Im pretty sure Id have gotten diabetes.","@EricDeBoer2 @adamzimmerman04 @BLehr08 Adam your backhand is awful shut up I have diabetes!","its only a matter of time before im diagnosed with diabetes tbh","Cant sleep because of this monitor thing on my back, nice one diabetes ðŸ˜€ðŸ”¨","@eritreancunt: @Marynom_ come lets go you strawberry, lets spend pessa on m&amp;ms till we have diabetes you understand my love for m&amp;ms ðŸ‘","O_O lmaooo RT ‏@AlphaGemini_ Yall still making excuses for why you got the hypertension and diabetes?","@briemerr thinks I could have diabetes #probablyright #stillaintgointothedocs #sowhatisleep #magicnursepowers","The shitest thing about having diabetes would be  that i dont think ye get sugar free ecstasy.","Just got the news about my uncle who died of Friday form diabetes ðŸ˜žðŸ˜¢"
"couponing leads to diabetes -@Micetro_","@leslienassar less sedition, and more the thing that stops me from being one of the &gt;60 per cent of Australians queueing up for TII diabetes","@Joelwanks @_HollyEldred @GeorgeeyC I dont like talking to people who think Im ugly and my hairline has diabetes","I remember soph year when oomf said she wouldnt fuck me bc I had diabetes. Boy she was re catch a fade","now I cant look at a cake without getting diabetes or suim","@RMG_jeffrey I am pulling for you buddy.....Diabetes isnt a joke....plz take it seriously...your a great guy and wish you the best.","Im so flustrated. Because of all this diabetes shit my days &amp; nights are mixed up. Im missing important things. I hope people understand.","I want to stop eating sweets and chocolate bc I feel like I will have diabetes","i eat the whole box of toquitos in like 3 days lol fuck diabetes","Fuck sake i must have given myself diabetes today. Ive had 2 cans of monster, 3 doctor peppers and 2 cans of diet coke. Fuck sake ðŸ˜¢ðŸ˜†","@official_isisg haha I prob will get diabetes after that","think thats when Ill finally be diagnosed with diabetes all dem eggs","And Ill probably have diabetes by easter","Observable: the speedy garden-variety the true in connection with diabetes!: SZcBOrd","Looking at a website for how to fry fish and an ad came up for managing type 2 diabetes. Maybe I should broil.","He has diabetes...enough said...","I literally had diabetes for lunch but it was yummy so its all good.","I think i have diabetes caues like eating anything makes me ridiculously tired.","RT @blakekemnitz: I would like to thank the red bull i shotgunned at 5am for diabetes...not my brightest moment #heartfailure"
"Id actually rather go to school tomorrow than go to my diabetes appointment.. ðŸ˜«","RT @_WhoIsKarma: @need0approval: Im the self appointed diabetes police in my house. *diabetes and processed foods .","@SamanthaFaiers love u sam please follow me , my sisters started crying she I was diagnosed with diabetes made me feel emotion ,Im in tears","they call me cookie cause diabetes runs in my fam","@not_ursula but you have diabetes!!!!","He has diabetes...enough said...","I was diagnosed with diabetes not so long ago fancy following me please love you @SamanthaFaiers stay strong beautiful xx","RT @ReaIWilIFerreII: Juan has 40 chocolate bars. He eats 35. What does Juan have now? Diabetes. Juan has diabetes.","Last night I drank American beer.If you sent that beer out to be analyzed, the lab would probably phone up and say,Your horse has diabetes","@gytbro @Yo_MrHernandez wake up, find out you have diabetes","Someone needs to tell this guy at Starbucks that you dont add cream and sugar to a caramel macchiato. #diabetes","Teacher: John has 32 cookies and eats 28 of them. What does John have now? Me: Diabetes. John has diabetes.","@Louis__Michael lol I dont have diabetes","Attached my artificial pancreas today. #DiabeticProbs #diabetes #type1 #robot","you could get diabetes from it","By helping him with his diabetes Im helping myself.","@SamanthaFaiers love you too beautiful my sister started crying when I was diagnosed with diabetes and I wasnt crying love stay strong ðŸ’–ðŸ’–","I love how obese women body-shame skinny girls, no need to be so overly proud of your high blood pressure and diabetes","im srsly gon get diabetes if I dont stop eating twix ðŸ˜£"
